gender,age_group,country_group,os
female,35-,Other,Android
female,55+,United States,Mac
male,35-,Other,Windows
male,35-,"UK, GB, CA, NZ, AU",Windows
male,35-45,United States,Android
male,45-55,United States,Chrome OS
male,45-55,United States,GNU/Linux
male,55+,Other,Android
male,55+,"UK, GB, CA, NZ, AU",Android
female,35-,Other,Chrome OS
female,35-,Other,GNU/Linux
female,35-,Other,Mac
female,35-,Other,Other
female,35-,Other,Windows
female,35-,Other,iPadOS
female,35-,"UK, GB, CA, NZ, AU",GNU/Linux
female,35-,"UK, GB, CA, NZ, AU",Other
female,35-,"UK, GB, CA, NZ, AU",iPadOS
female,35-,United States,Android
female,35-,United States,Chrome OS
female,35-,United States,GNU/Linux
female,35-,United States,Windows
female,35-,United States,iPadOS
female,35-45,Other,Chrome OS
female,35-45,Other,GNU/Linux
female,35-45,Other,Mac
female,35-45,Other,Other
female,35-45,Other,Windows
female,35-45,Other,iPadOS
female,35-45,"UK, GB, CA, NZ, AU",Chrome OS
female,35-45,"UK, GB, CA, NZ, AU",GNU/Linux
female,35-45,"UK, GB, CA, NZ, AU",Mac
female,35-45,"UK, GB, CA, NZ, AU",Other
female,35-45,"UK, GB, CA, NZ, AU",iPadOS
female,35-45,United States,Chrome OS
female,35-45,United States,GNU/Linux
female,35-45,United States,Mac
female,35-45,United States,Other
female,35-45,United States,iPadOS
female,45-55,Other,Chrome OS
female,45-55,Other,GNU/Linux
female,45-55,Other,Mac
female,45-55,Other,iOS
female,45-55,"UK, GB, CA, NZ, AU",Chrome OS
female,45-55,"UK, GB, CA, NZ, AU",GNU/Linux
female,45-55,"UK, GB, CA, NZ, AU",Mac
female,45-55,"UK, GB, CA, NZ, AU",iOS
female,45-55,"UK, GB, CA, NZ, AU",iPadOS
female,45-55,United States,Chrome OS
female,45-55,United States,GNU/Linux
female,45-55,United States,Mac
female,45-55,United States,iPadOS
female,55+,Other,Chrome OS
female,55+,Other,GNU/Linux
female,55+,Other,Other
female,55+,Other,iPadOS
female,55+,"UK, GB, CA, NZ, AU",Android
female,55+,"UK, GB, CA, NZ, AU",Chrome OS
female,55+,"UK, GB, CA, NZ, AU",GNU/Linux
female,55+,"UK, GB, CA, NZ, AU",iOS
female,55+,"UK, GB, CA, NZ, AU",iPadOS
female,55+,United States,Chrome OS
female,55+,United States,Other
male,35-,Other,Chrome OS
male,35-,Other,GNU/Linux
male,35-,Other,Other
male,35-,Other,iOS
male,35-,Other,iPadOS
male,35-,"UK, GB, CA, NZ, AU",Other
male,35-,United States,Chrome OS
male,35-,United States,GNU/Linux
male,35-45,Other,Chrome OS
male,35-45,Other,GNU/Linux
male,35-45,Other,Mac
male,35-45,Other,Other
male,35-45,Other,iOS
male,35-45,Other,iPadOS
male,35-45,"UK, GB, CA, NZ, AU",GNU/Linux
male,35-45,"UK, GB, CA, NZ, AU",Other
male,35-45,"UK, GB, CA, NZ, AU",iPadOS
male,35-45,United States,Chrome OS
male,35-45,United States,Other
male,35-45,United States,iPadOS
male,45-55,Other,Mac
male,45-55,Other,Other
male,45-55,Other,iPadOS
male,45-55,"UK, GB, CA, NZ, AU",Chrome OS
male,45-55,"UK, GB, CA, NZ, AU",GNU/Linux
male,45-55,"UK, GB, CA, NZ, AU",Mac
male,45-55,United States,Mac
male,45-55,United States,Other
male,45-55,United States,iPadOS
male,55+,Other,Chrome OS
male,55+,Other,GNU/Linux
male,55+,Other,Mac
male,55+,Other,Other
male,55+,"UK, GB, CA, NZ, AU",Windows
male,55+,United States,GNU/Linux